tile,count
006118,19
008010,9
008013,28
009004,37
015001,34
019005,20
020007,42
025004,20
027005,32
027246,19
035117,18
044024,37
049120,15
054245,24
055017,36
055239,16
058247,8
064017,1
066116,15
066118,15
072111,28
077120,12
080112,6
091239,13
113122,13
118107,24
118108,20
120118,8
122111,41
122112,22
124113,28
126121,7
129122,7
132037,22
135112,11
136033,55
136035,1
139035,30
139114,6
142037,58
142038,19
144120,7
144121,24
148030,30
154004,7
175109,11
181131,6
198117,13
205122,6
210102,1
210118,6
221003,2
224112,9
224120,24
231010,35
231112,4
233114,20
